Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Apartamento;Tijuca;1;1;0;55;1400.0;407.0;59.0;25.45;Apartamento
Apartamento;Tijuca;2;1;0;85;2000.0;600.0;0.0;23.53;Apartamento
Apartamento;Tijuca;2;1;0;66;1700.0;659.0;103.0;25.76;Apartamento
Apartamento;Tijuca;3;0;0;130;2760.0;250.0;23.0;21.23;Apartamento
Apartamento;Tijuca;2;1;1;80;2400.0;700.0;0.0;30.0;Apartamento
Apartamento;Tijuca;2;1;1;73;2200.0;650.0;1400.0;30.14;Apartamento
Apartamento;Tijuca;3;1;1;120;3500.0;700.0;0.0;29.17;Apartamento
Apartamento;Tijuca;2;0;1;70;2500.0;450.0;48.0;35.71;Apartamento
Apartamento;Tijuca;2;0;1;70;1800.0;350.0;95.0;25.71;Apartamento
Apartamento;Tijuca;2;0;0;75;1300.0;890.0;0.0;17.33;Apartamento
Apartamento;Tijuca;3;0;0;110;2100.0;820.0;110.0;19.09;Apartamento
Apartamento;Tijuca;2;1;1;85;2200.0;907.0;138.0;25.88;Apartamento
Apartamento;Tijuca;2;1;0;73;2200.0;700.0;0.0;30.14;Apartamento
Apartamento;Tijuca;3;2;1;110;2700.0;975.0;171.0;24.55;Apartamento
Apartamento;Tijuca;2;1;0;78;1480.0;500.0;650.0;18.97;Apartamento
Apartamento;Tijuca;3;1;1;90;2100.0;850.0;125.0;23.33;Apartamento
Apartamento;Tijuca;3;1;1;93;2300.0;1089.0;122.0;24.73;Apartamento
Apartamento;Tijuca;2;0;0;96;1800.0;700.0;97.0;18.75;Apartamento
Apartamento;Tijuca;3;1;0;100;2000.0;550.0;120.0;20.0;Apartamento
Apartamento;Tijuca;3;0;1;100;3000.0;200.0;78.0;30.0;Apartamento
Apartamento;Tijuca;2;1;0;88;2000.0;485.0;99.0;22.73;Apartamento
Apartamento;Tijuca;1;1;0;60;900.0;556.0;24.0;15.0;Apartamento
Apartamento;Tijuca;2;0;0;60;1800.0;604.0;0.0;30.0;Apartamento
Apartamento;Tijuca;1;0;0;50;1200.0;330.0;0.0;24.0;Apartamento
Apartamento;Tijuca;2;0;0;70;2100.0;700.0;0.0;30.0;Apartamento
Apartamento;Tijuca;2;0;0;52;1400.0;740.0;202.0;26.92;Apartamento
Apartamento;Tijuca;3;2;1;84;2350.0;950.0;890.0;27.98;Apartamento
Apartamento;Tijuca;1;0;0;40;1100.0;500.0;20.0;27.5;Apartamento
Apartamento;Tijuca;2;1;0;90;1300.0;769.0;0.0;14.44;Apartamento
Apartamento;Tijuca;1;1;0;48;1200.0;650.0;21.0;25.0;Apartamento
